"category","doc_id","title","path","prd_id","observed_sbom_code","observed_sku_anchor","source_url"
"笔记本","product-10086032697504","HUAWEI MateBook D 14 参数与卖点","01_参数与卖点_KB/笔记本/10086032697504_HUAWEI_MateBook_D_14.md","10086032697504","2801010169429","10086032697504+2801010169429","https://www.vmall.com/product/comdetail/index.html?prdId=10086032697504&sbomCode=2801010169429"
"笔记本","product-10086097339191","HUAWEI MateBook 14 鸿蒙版 参数与卖点","01_参数与卖点_KB/笔记本/10086097339191_HUAWEI_MateBook_14_鸿蒙版.md","10086097339191","2801010196902","10086097339191+2801010196902","https://www.vmall.com/product/comdetail/index.html?prdId=10086097339191&sbomCode=2801010196902"
"笔记本","product-10086159780677","HUAWEI MateBook D 14 SE 参数与卖点","01_参数与卖点_KB/笔记本/10086159780677_HUAWEI_MateBook_D_14_SE.md","10086159780677","2801010170615","10086159780677+2801010170615","https://www.vmall.com/product/comdetail/index.html?prdId=10086159780677&sbomCode=2801010170615"
"笔记本","product-10086297718748","HUAWEI MateBook Fold 非凡大师 参数与卖点","01_参数与卖点_KB/笔记本/10086297718748_HUAWEI_MateBook_Fold_非凡大师.md","10086297718748","","","https://www.vmall.com/product/comdetail/index.html?prdId=10086297718748"
"笔记本","product-10086309170231","HUAWEI MateBook GT 14 酷睿 Ultra 参数与卖点","01_参数与卖点_KB/笔记本/10086309170231_HUAWEI_MateBook_GT_14_酷睿_Ultra.md","10086309170231","2801010177223","10086309170231+2801010177223","https://www.vmall.com/product/comdetail/index.html?prdId=10086309170231&sbomCode=2801010177223"
"笔记本","product-10086600621238","HUAWEI MateBook D 16 SE 参数与卖点","01_参数与卖点_KB/笔记本/10086600621238_HUAWEI_MateBook_D_16_SE.md","10086600621238","2801010152845","10086600621238+2801010152845","https://www.vmall.com/product/comdetail/index.html?prdId=10086600621238&sbomCode=2801010152845"
"笔记本","product-10086627212823","HUAWEI MateBook 14 酷睿 Ultra 参数与卖点","01_参数与卖点_KB/笔记本/10086627212823_HUAWEI_MateBook_14_酷睿_Ultra.md","10086627212823","2801010174935","10086627212823+2801010174935","https://www.vmall.com/product/comdetail/index.html?prdId=10086627212823&sbomCode=2801010174935"
"笔记本","product-10086702263930","HUAWEI MateBook Pro 参数与卖点","01_参数与卖点_KB/笔记本/10086702263930_HUAWEI_MateBook_Pro.md","10086702263930","2801010187204","10086702263930+2801010187204","https://www.vmall.com/product/comdetail/index.html?prdId=10086702263930&sbomCode=2801010187204"
"笔记本","product-10086715793338","HUAWEI MateBook D 16 参数与卖点","01_参数与卖点_KB/笔记本/10086715793338_HUAWEI_MateBook_D_16.md","10086715793338","2801010168126","10086715793338+2801010168126","https://www.vmall.com/product/comdetail/index.html?prdId=10086715793338&sbomCode=2801010168126"
"穿戴","product-wearable-band-10","华为手环 10 产品档案","01_参数与卖点_KB/穿戴/band-10_华为手环_10.md","10086010507510","2901020055202","10086010507510+2901020055202","https://www.vmall.com/product/comdetail/index.html?prdId=10086010507510&sbomCode=2901020055202"
"穿戴","product-wearable-band-11","华为手环 11 产品档案","01_参数与卖点_KB/穿戴/band-11_华为手环_11.md","10086238406358","2901020058601","10086238406358+2901020058601","https://www.vmall.com/product/comdetail/index.html?prdId=10086238406358&sbomCode=2901020058601"
"穿戴","product-wearable-band-11-pro","华为手环 11 Pro 产品档案","01_参数与卖点_KB/穿戴/band-11-pro_华为手环_11_Pro.md","10086275048704","2901020058702","10086275048704+2901020058702","https://www.vmall.com/product/comdetail/index.html?prdId=10086275048704&sbomCode=2901020058702"
"穿戴","product-wearable-fit-4","HUAWEI WATCH FIT 4 产品档案","01_参数与卖点_KB/穿戴/fit-4_HUAWEI_WATCH_FIT_4.md","10086263071875","2901010115502","10086263071875+2901010115502","https://www.vmall.com/product/comdetail/index.html?prdId=10086263071875&sbomCode=2901010115502"
"穿戴","product-wearable-fit-4-pro","HUAWEI WATCH FIT 4 Pro 产品档案","01_参数与卖点_KB/穿戴/fit-4-pro_HUAWEI_WATCH_FIT_4_Pro.md","10086844111132","2901010115802","10086844111132+2901010115802","https://www.vmall.com/product/comdetail/index.html?prdId=10086844111132&sbomCode=2901010115802"
